                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.072,                 2.3962,                   1.05,                0.19434,                0.48261,                0.23673,                0.19086,                0.77312,                 2.2367,                0.98914,             5.8973e-05,             5.8973e-05,             5.8973e-05
                      2,                 1.0468,                 2.3872,                 1.0577,                0.20224,                0.47868,                0.25267,                 0.2025,                0.77781,                 2.1911,                0.99395,             0.00011277,             0.00011277,             0.00011277
                      3,                 1.0497,                 2.3556,                 1.0496,                0.21462,                0.55261,                0.24964,                0.18892,                 0.9081,                 2.2496,                 1.0222,             0.00016065,             0.00016065,             0.00016065
                      4,                  1.004,                 2.2808,                 1.0334,                 0.2063,                0.49464,                 0.2668,                0.21508,                0.77171,                 2.1607,                0.97816,             0.00015242,             0.00015242,             0.00015242
                      5,                0.99255,                 2.2598,                 1.0198,                0.23512,                0.55823,                0.32537,                0.26625,                0.71905,                 2.0465,                0.96746,             0.00014356,             0.00014356,             0.00014356
                      6,                0.94734,                 2.1377,                 1.0093,                0.24703,                0.56105,                0.34561,                0.28624,                0.69285,                 2.0514,                 0.9529,              0.0001347,              0.0001347,              0.0001347
                      7,                0.93283,                 2.0812,                0.99743,                0.30326,                0.53696,                0.33746,                0.27025,                0.80635,                 2.1345,                0.98134,             0.00012584,             0.00012584,             0.00012584
                      8,                0.90092,                 2.0424,                0.99349,                0.28732,                0.60038,                0.39862,                0.33562,                0.65702,                 1.8411,                0.94133,             0.00011698,             0.00011698,             0.00011698
                      9,                0.88673,                 1.9709,                0.97929,                0.34113,                0.58452,                0.41564,                 0.3483,                0.66638,                 1.8769,                0.92728,             0.00010812,             0.00010812,             0.00010812
                     10,                0.88364,                 1.9578,                0.97859,                0.35652,                0.66867,                0.47828,                0.39447,                0.70471,                    1.7,                0.94084,             9.9255e-05,             9.9255e-05,             9.9255e-05
                     11,                0.78085,                 1.8413,                0.98842,                0.35733,                0.65508,                0.47561,                0.39013,                 0.7063,                 1.6825,                0.93472,             9.0395e-05,             9.0395e-05,             9.0395e-05
                     12,                0.73411,                 1.7559,                0.96759,                 0.3264,                0.67056,                0.46033,                0.38641,                0.65925,                 1.6919,                0.91399,             8.1534e-05,             8.1534e-05,             8.1534e-05
                     13,                0.71006,                  1.667,                0.95369,                0.39216,                0.66525,                0.52776,                0.45487,                0.60263,                 1.5395,                0.90644,             7.2674e-05,             7.2674e-05,             7.2674e-05
                     14,                0.69811,                 1.6426,                0.94946,                0.41008,                0.68495,                0.56118,                0.48095,                0.60474,                 1.5203,                0.90435,             6.3813e-05,             6.3813e-05,             6.3813e-05
                     15,                0.67767,                 1.5534,                0.94205,                 0.4508,                0.69645,                0.59624,                0.51062,                0.61092,                 1.4512,                0.90633,             5.4953e-05,             5.4953e-05,             5.4953e-05
                     16,                 0.6732,                 1.5307,                0.94184,                0.40475,                0.68421,                 0.5693,                0.48859,                0.59954,                 1.5482,                0.89928,             4.6092e-05,             4.6092e-05,             4.6092e-05
                     17,                0.66283,                 1.4855,                0.93128,                0.47507,                0.70906,                0.62533,                0.54352,                0.56673,                 1.3841,                0.88697,             3.7232e-05,             3.7232e-05,             3.7232e-05
                     18,                0.65706,                  1.443,                0.93548,                0.52393,                0.70548,                0.65903,                0.56975,                0.57831,                  1.323,                0.89643,             2.8372e-05,             2.8372e-05,             2.8372e-05
                     19,                0.64911,                 1.4172,                  0.933,                0.52324,                 0.7403,                0.68143,                0.59485,                0.56224,                 1.2893,                0.89071,             1.9511e-05,             1.9511e-05,             1.9511e-05
                     20,                0.64026,                  1.396,                0.93124,                0.56106,                0.73505,                0.69063,                0.60413,                0.55514,                 1.2579,                0.88991,             1.0651e-05,             1.0651e-05,             1.0651e-05
